"Locus Tag","Gene Name","Product Description","Strain Name","Accession","GO Term","Namespace","GO Evidence Code","Evidence Ontology ECO Code","Evidence Ontology Term","Similar To \ Binds To","PMID"
"PP_0272","PP_0272","ferric siderophore receptor","Pseudomonas putida KT2440 (TIGR)","GO:0009279","cell outer membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01783","PMID:24451626"
"PP_0272","PP_0272","ferric siderophore receptor","Pseudomonas putida KT2440 (TIGR)","GO:0015343","siderophore transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01783","PMID:24451626"
"PP_0272","PP_0272","ferric siderophore receptor","Pseudomonas putida KT2440 (TIGR)","GO:0015343","siderophore-iron transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01783","PMID:24451626"
"PP_0272","PP_0272","ferric siderophore receptor","Pseudomonas putida KT2440 (TIGR)","GO:0015891","siderophore transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01783","PMID:24451626"
"PP_0272","PP_0272","ferric siderophore receptor","Pseudomonas putida KT2440 (TIGR)","GO:0038023","signaling receptor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01783","PMID:24451626"
"PP_0274","PP_0274","transcriptional regulator","Pseudomonas putida KT2440 (TIGR)","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF47413","PMID:24451626"
"PP_0274","PP_0274","transcriptional regulator","Pseudomonas putida KT2440 (TIGR)","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR40455","PMID:24451626"
"PP_0274","PP_0274","transcriptional regulator","Pseudomonas putida KT2440 (TIGR)","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR40455","PMID:24451626"
"PP_0276","PP_0276","Cro/CI family transcriptional regulator","Pseudomonas putida KT2440 (TIGR)","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:1.10.260.40","PMID:24451626"
"PP_0279","PP_0279","hypothetical protein","Pseudomonas putida KT2440 (TIGR)","GO:0008757","S-adenosylmethionine-dependent methyltransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF53335","PMID:24451626"
"PP_0280","PP_0280","amino acid ABC transporter permease","Pseudomonas putida KT2440 (TIGR)","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR30614","PMID:24451626"
"PP_0280","PP_0280","amino acid ABC transporter permease","Pseudomonas putida KT2440 (TIGR)","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR30614","PMID:24451626"
"PP_0280","PP_0280","amino acid ABC transporter permease","Pseudomonas putida KT2440 (TIGR)","GO:0022857","transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01726","PMID:24451626"
"PP_0280","PP_0280","amino acid ABC transporter permease","Pseudomonas putida KT2440 (TIGR)","GO:0043190","ATP-binding cassette (ABC) transporter complex","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01726","PMID:24451626"
"PP_0280","PP_0280","amino acid ABC transporter permease","Pseudomonas putida KT2440 (TIGR)","GO:0071705","nitrogen compound transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01726","PMID:24451626"
"PP_0281","PP_0281","amino acid ABC transporter permease","Pseudomonas putida KT2440 (TIGR)","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01726","PMID:24451626"
"PP_0281","PP_0281","amino acid ABC transporter permease","Pseudomonas putida KT2440 (TIGR)","GO:0022857","transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01726","PMID:24451626"
"PP_0281","PP_0281","amino acid ABC transporter permease","Pseudomonas putida KT2440 (TIGR)","GO:0043190","ATP-binding cassette (ABC) transporter complex","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01726","PMID:24451626"
"PP_0281","PP_0281","amino acid ABC transporter permease","Pseudomonas putida KT2440 (TIGR)","GO:0071705","nitrogen compound transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01726","PMID:24451626"
"PP_0281","PP_0281","amino acid ABC transporter permease","Pseudomonas putida KT2440 (TIGR)","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd06261","PMID:24451626"
"PP_0283","aotP","arginine/ornithine ABC transporter ATP-binding protein AotP","Pseudomonas putida KT2440 (TIGR)","GO:0016887","ATPase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00382","PMID:24451626"
"PP_0283","aotP","arginine/ornithine ABC transporter ATP-binding protein AotP","Pseudomonas putida KT2440 (TIGR)","GO:0016887","ATP hydrolysis activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00382","PMID:24451626"
"PP_0283","aotP","arginine/ornithine ABC transporter ATP-binding protein AotP","Pseudomonas putida KT2440 (TIGR)","GO:0005524","ATP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00005","PMID:24451626"
"PP_0283","aotP","arginine/ornithine ABC transporter ATP-binding protein AotP","Pseudomonas putida KT2440 (TIGR)","GO:0003333","amino acid transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF039085","PMID:24451626"
"PP_0283","aotP","arginine/ornithine ABC transporter ATP-binding protein AotP","Pseudomonas putida KT2440 (TIGR)","GO:0015424","ATPase-coupled amino acid transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF039085","PMID:24451626"
"PP_0283","aotP","arginine/ornithine ABC transporter ATP-binding protein AotP","Pseudomonas putida KT2440 (TIGR)","GO:0015424","ABC-type amino acid transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF039085","PMID:24451626"
"PP_0284","gabP-I","gamma-aminobutyrate permease","Pseudomonas putida KT2440 (TIGR)","GO:0015185","gamma-aminobutyric acid transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01773","PMID:24451626"
"PP_0284","gabP-I","gamma-aminobutyrate permease","Pseudomonas putida KT2440 (TIGR)","GO:0015812","gamma-aminobutyric acid transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01773","PMID:24451626"
"PP_0284","gabP-I","gamma-aminobutyrate permease","Pseudomonas putida KT2440 (TIGR)","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01773","PMID:24451626"
"PP_0284","gabP-I","gamma-aminobutyrate permease","Pseudomonas putida KT2440 (TIGR)","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00324","PMID:24451626"
"PP_0285","PP_0285","Fe(2+)-trafficking protein","Pseudomonas putida KT2440 (TIGR)","GO:0005506","iron ion binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF029827","PMID:24451626"
"PP_0286","mutY","A/G-specific adenine glycosylase","Pseudomonas putida KT2440 (TIGR)","GO:0003824","catalytic activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF48150","PMID:24451626"
"PP_0286","mutY","A/G-specific adenine glycosylase","Pseudomonas putida KT2440 (TIGR)","GO:0006281","DNA repair","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF48150","PMID:24451626"
"PP_0286","mutY","A/G-specific adenine glycosylase","Pseudomonas putida KT2440 (TIGR)","GO:0006284","base-excision repair","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00478","PMID:24451626"
"PP_0286","mutY","A/G-specific adenine glycosylase","Pseudomonas putida KT2440 (TIGR)","GO:0019104","DNA N-glycosylase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01084","PMID:24451626"
"PP_0286","mutY","A/G-specific adenine glycosylase","Pseudomonas putida KT2440 (TIGR)","GO:0016798","hydrolase activity, acting on glycosyl bonds","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR42944","PMID:24451626"
"PP_0286","mutY","A/G-specific adenine glycosylase","Pseudomonas putida KT2440 (TIGR)","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00633","PMID:24451626"
"PP_0288","PP_0288","oxalate/formate antiporter","Pseudomonas putida KT2440 (TIGR)","GO:0022857","transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF07690","PMID:24451626"
"PP_0288","PP_0288","oxalate/formate antiporter","Pseudomonas putida KT2440 (TIGR)","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF07690","PMID:24451626"
"PP_0289","hisB","imidazoleglycerol-phosphate dehydratase","Pseudomonas putida KT2440 (TIGR)","GO:0000105","histidine biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00475","PMID:24451626"
"PP_0289","hisB","imidazoleglycerol-phosphate dehydratase","Pseudomonas putida KT2440 (TIGR)","GO:0004424","imidazoleglycerol-phosphate dehydratase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00475","PMID:24451626"
"PP_0290","hisH","imidazole glycerol phosphate synthase subunit HisH","Pseudomonas putida KT2440 (TIGR)","GO:0000105","histidine biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR42701","PMID:24451626"
"PP_0290","hisH","imidazole glycerol phosphate synthase subunit HisH","Pseudomonas putida KT2440 (TIGR)","GO:0016763","transferase activity, transferring pentosyl groups","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR42701","PMID:24451626"
"PP_0290","hisH","imidazole glycerol phosphate synthase subunit HisH","Pseudomonas putida KT2440 (TIGR)","GO:0016763","pentosyltransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR42701","PMID:24451626"
"PP_0292","hisA","phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide isomerase","Pseudomonas putida KT2440 (TIGR)","GO:0000105","histidine biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR43090","PMID:24451626"
"PP_0292","hisA","phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide isomerase","Pseudomonas putida KT2440 (TIGR)","GO:0003949","1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR43090","PMID:24451626"
"PP_0293","hisF","imidazole glycerol phosphate synthase subunit HisF","Pseudomonas putida KT2440 (TIGR)","GO:0000105","histidine biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_01013","PMID:24451626"
"PP_0293","hisF","imidazole glycerol phosphate synthase subunit HisF","Pseudomonas putida KT2440 (TIGR)","GO:0000107","imidazoleglycerol-phosphate synthase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_01013","PMID:24451626"
"PP_0294","cbcV","choline/betaine/carnitine ABC transporter ATP binding protein","Pseudomonas putida KT2440 (TIGR)","GO:0005524","ATP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00005","PMID:24451626"
"PP_0294","cbcV","choline/betaine/carnitine ABC transporter ATP binding protein","Pseudomonas putida KT2440 (TIGR)","GO:0015220","choline transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR03415","PMID:24451626"
"PP_0294","cbcV","choline/betaine/carnitine ABC transporter ATP binding protein","Pseudomonas putida KT2440 (TIGR)","GO:0015871","choline transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR03415","PMID:24451626"
"PP_0294","cbcV","choline/betaine/carnitine ABC transporter ATP binding protein","Pseudomonas putida KT2440 (TIGR)","GO:0055052","ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR03415","PMID:24451626"
"PP_0294","cbcV","choline/betaine/carnitine ABC transporter ATP binding protein","Pseudomonas putida KT2440 (TIGR)","GO:0016887","ATPase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00382","PMID:24451626"
"PP_0294","cbcV","choline/betaine/carnitine ABC transporter ATP binding protein","Pseudomonas putida KT2440 (TIGR)","GO:0016887","ATP hydrolysis activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00382","PMID:24451626"
"PP_0295","cbcW","choline/betaine/carnitine ABC transporter permease","Pseudomonas putida KT2440 (TIGR)","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00528","PMID:24451626"
"PP_0295","cbcW","choline/betaine/carnitine ABC transporter permease","Pseudomonas putida KT2440 (TIGR)","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00528","PMID:24451626"
"PP_0296","cbcX","choline/betaine/carnitine ABC transporter substrate-binding protein","Pseudomonas putida KT2440 (TIGR)","GO:0022857","transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04069","PMID:24451626"
"PP_0296","cbcX","choline/betaine/carnitine ABC transporter substrate-binding protein","Pseudomonas putida KT2440 (TIGR)","GO:0043190","ATP-binding cassette (ABC) transporter complex","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04069","PMID:24451626"
"PP_0296","cbcX","choline/betaine/carnitine ABC transporter substrate-binding protein","Pseudomonas putida KT2440 (TIGR)","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04069","PMID:24451626"
"PP_0296","cbcX","choline/betaine/carnitine ABC transporter substrate-binding protein","Pseudomonas putida KT2440 (TIGR)","GO:0015871","choline transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR03414","PMID:24451626"
"PP_0296","cbcX","choline/betaine/carnitine ABC transporter substrate-binding protein","Pseudomonas putida KT2440 (TIGR)","GO:0033265","choline binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR03414","PMID:24451626"
"PP_0296","cbcX","choline/betaine/carnitine ABC transporter substrate-binding protein","Pseudomonas putida KT2440 (TIGR)","GO:0042597","periplasmic space","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR03414","PMID:24451626"
"PP_0297","tdcG-I","L-serine dehydratase","Pseudomonas putida KT2440 (TIGR)","GO:0003941","L-serine ammonia-lyase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00720","PMID:24451626"
"PP_0297","tdcG-I","L-serine dehydratase","Pseudomonas putida KT2440 (TIGR)","GO:0006094","gluconeogenesis","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00720","PMID:24451626"
"PP_0297","tdcG-I","L-serine dehydratase","Pseudomonas putida KT2440 (TIGR)","GO:0051539","4 iron, 4 sulfur cluster binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF03315","PMID:24451626"
"PP_0298","gbdR","AraC family transcriptional regulator","Pseudomonas putida KT2440 (TIGR)","GO:0003700","DNA-binding transcription factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF12833","PMID:24451626"
"PP_0298","gbdR","AraC family transcriptional regulator","Pseudomonas putida KT2440 (TIGR)","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF12833","PMID:24451626"
"PP_0298","gbdR","AraC family transcriptional regulator","Pseudomonas putida KT2440 (TIGR)","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF12833","PMID:24451626"
"PP_0298","gbdR","AraC family transcriptional regulator","Pseudomonas putida KT2440 (TIGR)","GO:0043565","sequence-specific DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF12833","PMID:24451626"
"PP_0302","lcdH","L-carnitine dehydrogenase","Pseudomonas putida KT2440 (TIGR)","GO:0016491","oxidoreductase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:1.10.1040.10","PMID:24451626"
"PP_0302","lcdH","L-carnitine dehydrogenase","Pseudomonas putida KT2440 (TIGR)","GO:0006631","fatty acid metabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00725","PMID:24451626"
"PP_0302","lcdH","L-carnitine dehydrogenase","Pseudomonas putida KT2440 (TIGR)","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00725","PMID:24451626"
"PP_0302","lcdH","L-carnitine dehydrogenase","Pseudomonas putida KT2440 (TIGR)","GO:0070403","NAD+ binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02737","PMID:24451626"
"PP_0303","PP_0303","dehydrocarnitine cleavage enzyme","Pseudomonas putida KT2440 (TIGR)","GO:0043720","3-keto-5-aminohexanoate cleavage activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF05853","PMID:24451626"
"PP_0304","caiX","carnitine uptake ABC transporter substrate-binding protein","Pseudomonas putida KT2440 (TIGR)","GO:0015871","choline transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR03414","PMID:24451626"
"PP_0304","caiX","carnitine uptake ABC transporter substrate-binding protein","Pseudomonas putida KT2440 (TIGR)","GO:0033265","choline binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR03414","PMID:24451626"
"PP_0304","caiX","carnitine uptake ABC transporter substrate-binding protein","Pseudomonas putida KT2440 (TIGR)","GO:0042597","periplasmic space","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR03414","PMID:24451626"
"PP_0304","caiX","carnitine uptake ABC transporter substrate-binding protein","Pseudomonas putida KT2440 (TIGR)","GO:0022857","transmembrane transporter activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04069","PMID:24451626"
"PP_0304","caiX","carnitine uptake ABC transporter substrate-binding protein","Pseudomonas putida KT2440 (TIGR)","GO:0043190","ATP-binding cassette (ABC) transporter complex","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04069","PMID:24451626"
"PP_0304","caiX","carnitine uptake ABC transporter substrate-binding protein","Pseudomonas putida KT2440 (TIGR)","GO:0055085","transmembrane transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04069","PMID:24451626"
"PP_0305","cdhR","HTH-type transcriptional regulator CdhR","Pseudomonas putida KT2440 (TIGR)","GO:0003700","DNA-binding transcription factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00342","PMID:24451626"
"PP_0305","cdhR","HTH-type transcriptional regulator CdhR","Pseudomonas putida KT2440 (TIGR)","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00342","PMID:24451626"
"PP_0305","cdhR","HTH-type transcriptional regulator CdhR","Pseudomonas putida KT2440 (TIGR)","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00342","PMID:24451626"
"PP_0305","cdhR","HTH-type transcriptional regulator CdhR","Pseudomonas putida KT2440 (TIGR)","GO:0043565","sequence-specific DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00342","PMID:24451626"
"PP_0308","PP_0308","dipeptidase","Pseudomonas putida KT2440 (TIGR)","GO:0006508","proteolysis","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR10443","PMID:24451626"
"PP_0308","PP_0308","dipeptidase","Pseudomonas putida KT2440 (TIGR)","GO:0070573","metallodipeptidase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR10443","PMID:24451626"
"PP_0310","dgcA","dimethylglycine dehydrogenase subunit","Pseudomonas putida KT2440 (TIGR)","GO:0016491","oxidoreductase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF07992","PMID:24451626"
"PP_0310","dgcA","dimethylglycine dehydrogenase subunit","Pseudomonas putida KT2440 (TIGR)","GO:0010181","FMN binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00724","PMID:24451626"
"PP_0311","dgcB","dimethylglycine dehydrogenase subunit","Pseudomonas putida KT2440 (TIGR)","GO:0051536","iron-sulfur cluster binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:1.10.1060.10","PMID:24451626"
"PP_0312","PP_0312","electron transfer flavoprotein subunit alpha","Pseudomonas putida KT2440 (TIGR)","GO:0009055","electron transfer activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR43153","PMID:24451626"
"PP_0312","PP_0312","electron transfer flavoprotein subunit alpha","Pseudomonas putida KT2440 (TIGR)","GO:0050660","flavin adenine dinucleotide binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR43153","PMID:24451626"
"PP_0313","PP_0313","electron transfer flavoprotein subunit beta","Pseudomonas putida KT2440 (TIGR)","GO:0009055","electron transfer activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR21294","PMID:24451626"
"PP_0315","gbcA","glycine-betaine dioxygenase subunit","Pseudomonas putida KT2440 (TIGR)","GO:0051537","2 iron, 2 sulfur cluster binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:2.102.10.10","PMID:24451626"
"PP_0315","gbcA","glycine-betaine dioxygenase subunit","Pseudomonas putida KT2440 (TIGR)","GO:0044237","cellular metabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR43756","PMID:24451626"
"PP_0315","gbcA","glycine-betaine dioxygenase subunit","Pseudomonas putida KT2440 (TIGR)","GO:0005506","iron ion binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00848","PMID:24451626"
"PP_0316","gbcB","glycine-betaine dioxygenase subunit","Pseudomonas putida KT2440 (TIGR)","GO:0051536","iron-sulfur cluster binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd00207","PMID:24451626"
"PP_0316","gbcB","glycine-betaine dioxygenase subunit","Pseudomonas putida KT2440 (TIGR)","GO:0016491","oxidoreductase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00175","PMID:24451626"
"PP_0317","PP_0317","methyl-accepting chemotaxis transducer","Pseudomonas putida KT2440 (TIGR)","GO:0007165","signal transduction","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00283","PMID:24451626"
"PP_0317","PP_0317","methyl-accepting chemotaxis transducer","Pseudomonas putida KT2440 (TIGR)","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00283","PMID:24451626"
"PP_0317","PP_0317","methyl-accepting chemotaxis transducer","Pseudomonas putida KT2440 (TIGR)","GO:0004888","transmembrane signaling receptor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00260","PMID:24451626"
"PP_0317","PP_0317","methyl-accepting chemotaxis transducer","Pseudomonas putida KT2440 (TIGR)","GO:0006935","chemotaxis","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00260","PMID:24451626"
"PP_0320","PP_0320","methyl-accepting chemotaxis transducer","Pseudomonas putida KT2440 (TIGR)","GO:0007165","signal transduction","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00672","PMID:24451626"
"PP_0320","PP_0320","methyl-accepting chemotaxis transducer","Pseudomonas putida KT2440 (TIGR)","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00672","PMID:24451626"
"PP_0321","ltaE","low specificity l-threonine aldolase","Pseudomonas putida KT2440 (TIGR)","GO:0004793","threonine aldolase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF038940","PMID:24451626"
"PP_0321","ltaE","low specificity l-threonine aldolase","Pseudomonas putida KT2440 (TIGR)","GO:0006567","threonine catabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF038940","PMID:24451626"
"PP_0321","ltaE","low specificity l-threonine aldolase","Pseudomonas putida KT2440 (TIGR)","GO:0006520","cellular amino acid metabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01212","PMID:24451626"
"PP_0321","ltaE","low specificity l-threonine aldolase","Pseudomonas putida KT2440 (TIGR)","GO:0006520","amino acid metabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01212","PMID:24451626"
"PP_0321","ltaE","low specificity l-threonine aldolase","Pseudomonas putida KT2440 (TIGR)","GO:0016829","lyase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01212","PMID:24451626"
"PP_0322","glyA-I","serine hydroxymethyltransferase","Pseudomonas putida KT2440 (TIGR)","GO:0004372","glycine hydroxymethyltransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd00378","PMID:24451626"
